"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,123348,54657.3401524655,3850.53343626363,0,0,0,0,0,0,0,0,0,0.00390866225568484,0.0204067130198871,0.00148554530720047,0
1930,123348,54657.3401524655,3850.53343626363,0,0,0,0,0,0,0,0,0,0.00390866225568484,0.0204067130198871,0.00148554530720047,0
1931,123348,54657.3401524655,3850.53343626363,0,0,0,0,0,0,0,0,0,0.00390866225568484,0.0204067130198871,0.00148554530720047,0
1932,123348,54657.3401524655,3850.53343626363,0,0,0,0,0,0,0,0,0,0.00390866225568484,0.0204067130198871,0.00148554530720047,0
1933,197356.8,87451.7442439448,6160.85349802181,0,0,0,0,0,0,0,0,0,0.00625385960909575,0.0326507408318193,0.00237687249152076,0
1934,197356.8,87451.7442439448,6160.85349802181,0,0,0,0,0,0,0,0,0,0.00625385960909575,0.0326507408318193,0.00237687249152076,0
1935,197356.8,87451.7442439448,6160.85349802181,0,0,0,0,0,0,0,0,0,0.00625385960909575,0.0326507408318193,0.00237687249152076,0
1936,197356.8,87451.7442439448,6160.85349802181,0,0,0,0,0,0,0,0,0,0.00625385960909575,0.0326507408318193,0.00237687249152076,0
1937,197356.8,87451.7442439448,6160.85349802181,0,0,0,0,0,0,0,0,0,0.00625385960909575,0.0326507408318193,0.00237687249152076,0
1938,197356.8,87451.7442439448,6160.85349802181,0,0,0,0,0,0,0,0,0,0.00625385960909575,0.0326507408318193,0.00237687249152076,0
1939,197356.8,87451.7442439448,6160.85349802181,0,0,0,0,0,0,0,0,0,0.00625385960909575,0.0326507408318193,0.00237687249152076,0
1940,197356.8,87451.7442439448,6160.85349802181,0,0,0,0,0,0,0,0,0,0.00625385960909575,0.0326507408318193,0.00237687249152076,0
