"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1931,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1932,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1933,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1934,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1935,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1936,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1937,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
